color_code, university
#ac0807, 広島工業大学
#e76f8e, 広島国際大学
#009AD6, 広島修道大学
#003f8a, 広島市立大学
#199450, 広島大学
#00268B, 弘前大学
#ae102a, フェリス女学院大学
#18943b, 福井県立大学
#0b4092, 福井大学
#004700, 福岡教育大学
#b94047, 福岡女子大学
#86241b, 福岡大学
#018738, 福島県立医科大学
#004315, 福島大学
#336600, 藤田医科大学
#36328f, 佛教大学
#006c54, 文京学院大学
#2b2b93, 文教大学
#ff6b00, 法政大学
#333399, 北星学園大学
#391c86, 北陸先端科学技術大学院大学
#001d7d, 北海学園大学
#104fa0, 北海道教育大学
#23651c, 北海道大学
#119dcc, 松山大学
#14a83a, 三重大学
#60181d, 宮城学院女子大学
#008400, 宮城教育大学
#5b9a62, 宮城大学
#D52425, 宮崎公立大学
#01603a, 宮崎大学
#00a497, 武庫川女子大学
#00693e, 武蔵大学
#2a1b80, 武蔵野大学
#3d9638, 室蘭工業大学
#017561, 明海大学
#ffff00, 明治学院大学
#453288, 明治大学
#aa0000, 名城大学
#7d0019, 桃山学院大学
#03ae02, 山形県立保健医療大学
#005215, 山形大学
#ec0000, 山口県立大学
#009872, 山口大学
#003399, 山梨学院大学
#64208d, 山梨大学
#005c92, 横浜国立大学
#b94047, 横浜市立大学
#541b86, 立教大学
#208d3f, 立正大学
#aa0000, 立命館大学
#1f2f54, 琉球大学
#f50000, 龍谷大学
#018fd1, 流通科学大学
#005e4a, 麗澤大学
#034040, 和歌山県立医科大学
#f18b00, 和歌山大学
#950306, 早稲田大学
